neg,neu,pos,compound
0.0,0.754,0.246,0.9368
0.0,0.59,0.41,0.8779
0.051,0.8,0.15,0.8436
0.05,0.82,0.13,0.8913
0.045,0.761,0.194,0.9893
0.075,0.755,0.171,0.9218
0.051,0.821,0.129,0.9529
0.051,0.838,0.11,0.4404
0.095,0.883,0.022,-0.9726
0.0,0.891,0.109,0.6476
0.0,0.798,0.202,0.7964
0.078,0.922,0.0,-0.296
0.015,0.884,0.101,0.9736
0.059,0.774,0.167,0.9424
0.031,0.702,0.267,0.9812
0.027,0.909,0.064,0.25
0.068,0.666,0.266,0.9883
0.0,0.779,0.221,0.9623
0.0,0.607,0.393,0.923
0.152,0.739,0.109,-0.25
0.064,0.794,0.141,0.7951
0.139,0.754,0.108,-0.3774
0.106,0.718,0.176,0.5475
0.0,0.837,0.163,0.6486
0.025,0.854,0.121,0.6478
0.03,0.726,0.244,0.9281
0.0,0.904,0.096,0.8144
0.0,0.807,0.193,0.8126
0.103,0.729,0.169,0.2481
0.0,0.805,0.195,0.8655
0.11,0.792,0.098,-0.4786
0.041,0.793,0.166,0.9387
0.029,0.798,0.174,0.9936
0.064,0.7,0.236,0.9677
0.0,0.72,0.28,0.765
0.066,0.71,0.223,0.9553
0.0,0.765,0.235,0.807
0.0,0.76,0.24,0.9344
0.0,1.0,0.0,0.0
0.081,0.63,0.289,0.765
0.072,0.825,0.103,0.682
0.075,0.633,0.292,0.9757
0.0,0.869,0.131,0.7717
0.0,0.602,0.398,0.9351
0.0,0.75,0.25,0.7184
0.047,0.781,0.172,0.9476
0.076,0.924,0.0,-0.4823
0.107,0.893,0.0,-0.4767
0.0,0.801,0.199,0.9698
0.091,0.736,0.172,0.4118
0.103,0.699,0.198,0.9805
0.034,0.664,0.302,0.9463
0.105,0.816,0.079,-0.3489
0.04,0.841,0.119,0.8883
0.0,0.833,0.167,0.8824
0.0,0.613,0.387,0.9493
0.0,0.54,0.46,0.9153
0.106,0.706,0.188,0.5849
0.098,0.875,0.026,-0.9218
0.051,0.802,0.147,0.872
0.0,0.619,0.381,0.902
0.0,0.862,0.138,0.4926
0.062,0.911,0.028,-0.7067
0.0,0.767,0.233,0.8176
0.032,0.794,0.174,0.9354
0.0,0.839,0.161,0.5927
0.062,0.863,0.074,0.2609
0.052,0.817,0.132,0.7003
0.0,0.733,0.267,0.7346
0.037,0.693,0.271,0.9421
0.132,0.711,0.157,0.3303
0.0,0.523,0.477,0.9542
0.025,0.809,0.167,0.937
0.072,0.641,0.288,0.8565
0.066,0.859,0.075,0.1666
0.049,0.823,0.127,0.6438
0.0,0.754,0.246,0.8016
0.028,0.934,0.038,0.1779
0.032,0.792,0.176,0.9852
0.0,0.864,0.136,0.5255
0.0,0.898,0.102,0.7917
0.0,0.857,0.143,0.919
0.035,0.801,0.163,0.9676
0.054,0.745,0.2,0.9557
0.039,0.697,0.264,0.8439
0.104,0.705,0.191,0.6257
0.052,0.745,0.203,0.9434
0.09,0.705,0.205,0.8636
0.034,0.757,0.209,0.9823
0.0,0.887,0.113,0.4939
0.12,0.781,0.099,-0.7095
0.025,0.737,0.239,0.9566
0.0,0.811,0.189,0.8781
0.0,0.681,0.319,0.8934
0.078,0.735,0.187,0.9637
0.0,0.632,0.368,0.9661
0.148,0.625,0.227,0.5849
0.014,0.705,0.281,0.9763
0.076,0.791,0.133,0.25
0.058,0.778,0.165,0.5734
0.15,0.773,0.077,-0.9037
0.097,0.781,0.122,0.4733
0.0,0.649,0.351,0.894
0.0,0.796,0.204,0.9695
0.0,0.774,0.226,0.9287
0.031,0.657,0.312,0.9644
0.087,0.913,0.0,-0.4939
0.0,1.0,0.0,0.0
0.018,0.914,0.069,0.4971
0.024,0.828,0.148,0.6897
0.06,0.772,0.168,0.9109
0.0,0.823,0.177,0.5783
0.07,0.839,0.091,0.6785
0.0,0.904,0.096,0.3716
0.0,0.758,0.242,0.7717
0.065,0.562,0.373,0.886
0.0,1.0,0.0,0.0
0.05,0.69,0.26,0.7712
0.0,1.0,0.0,0.0
0.213,0.514,0.274,0.3185
0.0,0.688,0.312,0.8979
0.075,0.726,0.199,0.9373
0.064,0.594,0.342,0.9581
0.163,0.708,0.129,-0.8462
0.029,0.856,0.115,0.5709
0.0,0.837,0.163,0.6249
0.115,0.885,0.0,-0.4588
0.0,0.689,0.311,0.9732
0.0,0.662,0.338,0.9719
0.0,0.886,0.114,0.6124
0.046,0.8,0.154,0.6796
0.078,0.651,0.271,0.8506
0.0,0.765,0.235,0.9008
0.0,0.734,0.266,0.784
0.078,0.823,0.098,0.4416
0.069,0.782,0.149,0.8499
0.041,0.657,0.302,0.8731
0.0,0.912,0.088,0.4939
0.11,0.678,0.211,0.8053
0.101,0.627,0.273,0.9758
0.044,0.725,0.231,0.8319
0.0,0.608,0.392,0.9694
0.093,0.752,0.155,0.7667
0.0,0.678,0.322,0.908
0.071,0.861,0.068,-0.0258
0.0,0.715,0.285,0.9177
0.064,0.727,0.209,0.7337
0.0,0.893,0.107,0.802
0.0,0.888,0.112,0.6604
0.0,0.802,0.198,0.6892
0.05,0.734,0.215,0.8008
0.027,0.835,0.138,0.8805
0.0,0.895,0.105,0.631
0.164,0.694,0.142,0.283
0.0,0.705,0.295,0.954
0.033,0.785,0.182,0.9441
0.228,0.772,0.0,-0.734
0.0,0.891,0.109,0.8802
0.0,0.742,0.258,0.8088
0.033,0.621,0.346,0.9334
0.076,0.768,0.156,0.4434
0.0,0.685,0.315,0.9366
0.038,0.84,0.122,0.8016
0.064,0.871,0.066,0.0258
0.0,0.913,0.087,0.7703
0.012,0.86,0.128,0.9923
0.087,0.643,0.27,0.6912
0.11,0.748,0.142,0.1264
0.0,0.588,0.412,0.9168
0.0,0.728,0.272,0.9472
0.054,0.69,0.256,0.8962
0.0,0.796,0.204,0.874
0.046,0.793,0.161,0.9341
0.063,0.524,0.413,0.9709
0.036,0.695,0.269,0.9468
0.074,0.715,0.212,0.8349
0.318,0.515,0.167,-0.7184
0.0,0.905,0.095,0.6369
0.027,0.78,0.193,0.9913
0.0,0.767,0.233,0.8065
0.0,0.774,0.226,0.9796
0.0,0.839,0.161,0.8625
0.089,0.75,0.161,0.8201
0.088,0.537,0.375,0.755
0.031,0.764,0.205,0.9183
0.248,0.636,0.116,-0.8174
0.0,0.642,0.358,0.8591
0.0,0.661,0.339,0.8481
0.0,1.0,0.0,0.0
0.0,0.83,0.17,0.8016
0.0,0.502,0.498,0.9677
0.0,0.638,0.362,0.9682
0.046,0.703,0.251,0.867
0.0,0.8,0.2,0.9885
0.0,0.787,0.213,0.7644
0.234,0.556,0.211,0.0
0.093,0.813,0.095,0.0258
0.215,0.697,0.088,-0.6351
0.194,0.771,0.035,-0.9058
0.0,0.691,0.309,0.8172
0.019,0.702,0.279,0.9622
0.0,0.954,0.046,0.6249
0.036,0.772,0.192,0.9477
0.0,0.713,0.287,0.9257
0.05,0.758,0.192,0.8316
0.016,0.879,0.105,0.8681
0.0,0.802,0.198,0.8555
0.0,0.815,0.185,0.7777
0.0,0.914,0.086,0.4118
0.0,0.722,0.278,0.8902
0.0,0.594,0.406,0.9612
0.07,0.799,0.131,0.9222
0.166,0.809,0.025,-0.8957
0.0,0.784,0.216,0.8876
0.148,0.815,0.037,-0.5983
0.035,0.754,0.211,0.9561
0.0,0.861,0.139,0.4404
0.223,0.68,0.096,-0.3314
0.055,0.687,0.258,0.9106
0.017,0.821,0.161,0.9576
0.0,0.806,0.194,0.7717
0.029,0.817,0.154,0.7845
0.0,0.761,0.239,0.9337
0.0,0.739,0.261,0.9741
0.0,0.617,0.383,0.9876
0.04,0.786,0.174,0.9847
0.0,0.73,0.27,0.9516
0.083,0.751,0.166,0.8044
0.108,0.593,0.299,0.8655
0.0,0.771,0.229,0.9179
0.0,0.829,0.171,0.8519
0.0,0.926,0.074,0.7383
0.0,0.887,0.113,0.6369
0.0,0.728,0.272,0.87
0.072,0.781,0.147,0.9307
0.078,0.793,0.129,0.5176
0.054,0.69,0.257,0.9683
0.0,0.616,0.384,0.9603
0.044,0.898,0.058,0.1882
0.055,0.873,0.072,0.0935
0.077,0.78,0.143,0.3699
0.042,0.763,0.195,0.9883
0.0,0.713,0.287,0.967
0.0,0.737,0.263,0.8531
0.0,0.845,0.155,0.6908
0.034,0.743,0.223,0.9873
0.054,0.782,0.164,0.9337
0.0,0.5,0.5,0.943
0.0,0.603,0.397,0.8811
0.0,0.699,0.301,0.9619
0.082,0.854,0.064,-0.4854
0.0,0.684,0.316,0.926
0.0,0.564,0.436,0.9642
0.045,0.717,0.239,0.8455
0.066,0.743,0.19,0.9481
0.08,0.821,0.099,0.4883
0.037,0.87,0.093,0.34
0.099,0.794,0.108,0.5983
0.019,0.868,0.113,0.8443
0.0,0.838,0.162,0.7823
0.0,0.772,0.228,0.9606
0.009,0.845,0.147,0.9874
0.008,0.818,0.174,0.9926
0.049,0.951,0.0,-0.3595
0.0,0.957,0.043,0.25
0.051,0.676,0.273,0.9749
0.0,0.565,0.435,0.9649
0.0,0.686,0.314,0.7506
0.013,0.75,0.237,0.9828
0.0,0.585,0.415,0.9095
0.066,0.614,0.32,0.9684
0.034,0.728,0.238,0.8555
0.0,0.823,0.177,0.6239
0.245,0.652,0.103,-0.3855
0.0,0.435,0.565,0.9935
0.022,0.728,0.249,0.9451
0.0,0.605,0.395,0.9079
0.0,0.862,0.138,0.3384
0.088,0.767,0.145,0.4516
0.0,0.761,0.239,0.8547
0.0,0.818,0.182,0.9224
0.0,0.909,0.091,0.296
0.179,0.707,0.114,-0.3723
0.0,0.861,0.139,0.9598
0.0,0.763,0.237,0.9788
0.055,0.704,0.241,0.9287
0.0,0.717,0.283,0.9367
0.056,0.855,0.089,0.5976
0.1,0.645,0.254,0.6486
0.0,0.788,0.212,0.9743
0.0,0.554,0.446,0.9725
0.059,0.799,0.142,0.7833
0.025,0.762,0.212,0.9848
0.041,0.904,0.055,0.128
0.0,0.678,0.322,0.9811
0.067,0.887,0.046,-0.2003
0.0,0.62,0.38,0.8922
0.0,0.715,0.285,0.8213
0.082,0.753,0.165,0.7866
0.016,0.816,0.168,0.9062
0.0,0.732,0.268,0.8555
0.017,0.745,0.238,0.9887
0.147,0.641,0.212,0.7285
0.138,0.763,0.099,-0.8157
0.12,0.642,0.237,0.6369
0.052,0.643,0.304,0.9312
0.079,0.779,0.142,0.7184
0.0,0.895,0.105,0.5859
0.029,0.81,0.16,0.935
0.023,0.852,0.125,0.9321
0.0,0.681,0.319,0.8934
0.092,0.736,0.172,0.8074
0.0,0.689,0.311,0.8221
0.0,0.646,0.354,0.899
0.0,1.0,0.0,0.0
0.011,0.736,0.253,0.9839
0.0,0.684,0.316,0.8658
0.032,0.751,0.217,0.9954
0.086,0.818,0.096,0.4246
0.045,0.737,0.218,0.8583
0.038,0.73,0.232,0.9844
0.0,0.782,0.218,0.8539
0.051,0.79,0.16,0.9538
0.047,0.803,0.15,0.9966
0.03,0.71,0.26,0.9757
0.0,0.756,0.244,0.9523
0.069,0.766,0.164,0.91
0.0,0.766,0.234,0.6705
0.0,1.0,0.0,0.0
0.045,0.824,0.13,0.6114
0.065,0.918,0.018,-0.7641
0.069,0.757,0.174,0.7028
0.236,0.72,0.045,-0.9032
0.128,0.872,0.0,-0.5209
0.045,0.788,0.168,0.9989
0.087,0.844,0.069,-0.2092
0.013,0.935,0.052,0.4926
0.044,0.752,0.203,0.9183
0.14,0.742,0.117,-0.1779
0.193,0.658,0.149,-0.417
0.357,0.643,0.0,-0.8745
0.054,0.813,0.133,0.8161
0.142,0.746,0.111,-0.5089
0.0,0.659,0.341,0.8855
0.0,0.828,0.172,0.4404
0.0,0.867,0.133,0.7555
0.144,0.856,0.0,-0.8144
0.0,0.801,0.199,0.921
0.0,0.916,0.084,0.9136
0.0,0.927,0.073,0.5106
0.0,0.93,0.07,0.3252
0.096,0.745,0.158,0.25
0.269,0.66,0.071,-0.8004
0.115,0.755,0.13,0.1104
0.0,0.718,0.282,0.9612
0.09,0.847,0.062,-0.7754
0.093,0.876,0.031,-0.664
0.12,0.795,0.084,-0.8814
0.026,0.797,0.177,0.9217
0.0,0.832,0.168,0.8172
0.0,0.608,0.392,0.9859
0.177,0.823,0.0,-0.9679
0.114,0.735,0.151,0.6749
0.026,0.897,0.077,0.3291
0.0,0.803,0.197,0.8422
0.0,0.751,0.249,0.9118
0.01,0.817,0.172,0.9945
0.018,0.818,0.164,0.9915
0.0,1.0,0.0,0.0
0.009,0.845,0.147,0.9874
0.0,0.601,0.399,0.8834
0.019,0.835,0.146,0.8291
0.0,0.781,0.219,0.9749
0.0,0.536,0.464,0.9307
0.0,0.802,0.198,0.6369
0.0,0.857,0.143,0.6124
0.043,0.649,0.308,0.9254
0.0,0.907,0.093,0.4019
0.091,0.909,0.0,-0.2732
0.081,0.785,0.134,0.25
0.083,0.721,0.196,0.8132
0.0,0.779,0.221,0.9323
0.116,0.75,0.135,0.2169
0.0,0.81,0.19,0.9042
0.016,0.861,0.123,0.846
0.0,0.826,0.174,0.6369
0.0,0.889,0.111,0.9446
0.056,0.726,0.217,0.9739
0.042,0.857,0.101,0.8112
0.031,0.831,0.138,0.8932
0.022,0.845,0.133,0.9206
0.0,0.797,0.203,0.8567
0.063,0.859,0.078,0.4101
0.146,0.571,0.283,0.8802
0.051,0.693,0.257,0.9842
0.186,0.665,0.149,-0.4503
0.05,0.639,0.311,0.9834
0.007,0.827,0.166,0.9938
0.009,0.845,0.147,0.9874
0.0,0.83,0.17,0.8481
0.0,0.837,0.163,0.8715
0.085,0.682,0.233,0.5705
0.014,0.733,0.253,0.9779
0.061,0.875,0.063,0.0384
0.02,0.834,0.146,0.9668
0.088,0.713,0.2,0.6222
0.052,0.758,0.191,0.8139
0.147,0.786,0.067,-0.6341
0.0,0.746,0.254,0.9585
0.039,0.801,0.159,0.9169
0.024,0.706,0.27,0.982
0.0,0.7,0.3,0.8901
0.0,0.694,0.306,0.8979
0.0,0.875,0.125,0.5067
0.0,0.599,0.401,0.9586
0.075,0.817,0.108,0.8004
0.157,0.788,0.055,-0.8088
0.039,0.627,0.334,0.969
0.077,0.707,0.217,0.983
0.0,0.867,0.133,0.9697
0.028,0.697,0.275,0.9745
0.078,0.792,0.13,0.5574
0.061,0.674,0.265,0.8678
0.053,0.947,0.0,-0.3919
0.13,0.587,0.283,0.9169
0.029,0.918,0.053,0.4166
0.0,0.69,0.31,0.933
0.01,0.866,0.124,0.9167
0.042,0.775,0.183,0.9739
0.213,0.608,0.179,-0.0997
0.187,0.728,0.086,-0.9194
0.05,0.856,0.093,0.5597
0.095,0.589,0.316,0.7074
0.034,0.722,0.244,0.9375
0.03,0.734,0.236,0.9554
0.0,0.936,0.064,0.0772
0.0,0.799,0.201,0.9545
0.031,0.793,0.176,0.8316
0.02,0.685,0.295,0.9814
0.076,0.585,0.339,0.8595
0.0,0.694,0.306,0.9151
0.021,0.83,0.149,0.9249
0.096,0.7,0.204,0.5719
0.0,0.89,0.11,0.3818
0.093,0.77,0.137,0.9356
0.0,0.814,0.186,0.8395
0.043,0.867,0.09,0.8845
0.029,0.9,0.071,0.9377
0.038,0.89,0.072,0.7588
0.0,0.909,0.091,0.4404
0.0,0.614,0.386,0.8932
0.0,0.654,0.346,0.9022
0.0,0.811,0.189,0.6808
0.046,0.637,0.316,0.906
0.02,0.777,0.203,0.9601
0.228,0.545,0.228,0.25
0.0,0.788,0.212,0.8439
0.106,0.7,0.193,0.624
0.018,0.882,0.099,0.9621
0.0,0.774,0.226,0.9757
0.0,0.697,0.303,0.9476
0.0,0.816,0.184,0.7263
0.05,0.69,0.26,0.8689
0.0,0.744,0.256,0.8225
0.077,0.634,0.289,0.7906
0.0,0.604,0.396,0.8957
0.046,0.854,0.1,0.8074
0.065,0.88,0.055,-0.1263
0.062,0.708,0.231,0.9313
0.0,0.797,0.203,0.9098
0.095,0.773,0.132,0.6588
0.044,0.72,0.237,0.9566
0.049,0.685,0.266,0.749
0.0,0.746,0.254,0.8896
0.126,0.686,0.188,0.879
0.052,0.829,0.119,0.491
0.121,0.879,0.0,-0.509
0.06,0.753,0.187,0.6369
0.184,0.816,0.0,-0.5423
0.141,0.411,0.449,0.9354
0.0,0.56,0.44,0.9318
0.015,0.844,0.141,0.9605
0.0,0.833,0.167,0.7183
0.051,0.743,0.206,0.9694
0.041,0.716,0.243,0.8878
0.045,0.817,0.138,0.8189
0.035,0.826,0.139,0.7845
0.0,0.916,0.084,0.8356
0.0,0.86,0.14,0.7345
0.0,0.705,0.295,0.8718
0.0,0.734,0.266,0.9118
0.037,0.89,0.073,0.3585
0.052,0.759,0.189,0.9103
0.076,0.698,0.227,0.911
0.052,0.687,0.261,0.905
0.055,0.731,0.214,0.7414
0.067,0.672,0.261,0.7467
0.0,0.623,0.377,0.9603
0.0,0.552,0.448,0.9393
0.059,0.536,0.405,0.9312
0.091,0.563,0.345,0.7824
0.07,0.648,0.282,0.8176
0.0,0.635,0.365,0.7845
0.0,0.717,0.283,0.8172
0.028,0.865,0.107,0.9035
0.0,0.88,0.12,0.9131
0.029,0.911,0.06,0.3116
0.048,0.773,0.179,0.9605
0.0,0.85,0.15,0.8725
0.0,0.76,0.24,0.9001
0.088,0.669,0.243,0.9403
0.09,0.887,0.023,-0.6607
0.075,0.858,0.066,-0.1045
0.087,0.774,0.139,0.6675
0.102,0.824,0.073,-0.2617
0.024,0.75,0.226,0.9318
0.029,0.714,0.256,0.9449
0.073,0.757,0.17,0.8395
0.091,0.779,0.13,0.224
0.0,0.738,0.262,0.6901
0.028,0.891,0.081,0.7227
0.04,0.577,0.383,0.9168
0.0,0.864,0.136,0.3987
0.0,0.617,0.383,0.9825
0.0,0.915,0.085,0.6697
0.1,0.709,0.191,0.6886
0.0,0.805,0.195,0.9022
0.109,0.785,0.106,0.2249
0.0,0.442,0.558,0.9764
0.054,0.828,0.118,0.5632
0.022,0.88,0.098,0.9257
0.176,0.685,0.139,-0.4376
0.083,0.822,0.095,-0.409
0.135,0.758,0.108,-0.3625
0.247,0.562,0.191,-0.7067
0.154,0.754,0.091,-0.9047
0.126,0.821,0.053,-0.9321
0.0,0.834,0.166,0.8745
0.039,0.722,0.239,0.9113
0.049,0.86,0.091,0.8617
0.016,0.858,0.126,0.9909
0.092,0.838,0.07,-0.2047
0.012,0.875,0.113,0.9834
0.22,0.78,0.0,-0.7351
0.152,0.664,0.185,0.1779
0.354,0.566,0.079,-0.8067
0.0,0.823,0.177,0.9916
0.0,0.786,0.214,0.9807
0.023,0.796,0.18,0.9527
0.0,0.598,0.402,0.902
0.0,0.794,0.206,0.9097
0.0,0.69,0.31,0.8934
0.0,0.699,0.301,0.7841
0.0,0.842,0.158,0.7768
0.216,0.727,0.056,-0.8049
0.038,0.789,0.173,0.9582
0.14,0.663,0.197,0.617
0.0,0.789,0.211,0.9001
0.023,0.807,0.169,0.9011
0.0,0.749,0.251,0.9688
0.0,0.815,0.185,0.9601
0.033,0.851,0.116,0.966
0.0,0.63,0.37,0.875
0.166,0.75,0.083,-0.4574
0.278,0.722,0.0,-0.7112
0.035,0.797,0.168,0.9861
0.0,0.777,0.223,0.7755
0.0,0.717,0.283,0.9595
0.0,0.677,0.323,0.9531
0.365,0.635,0.0,-0.8481
0.0,1.0,0.0,0.0
0.075,0.76,0.166,0.785
0.0,0.782,0.218,0.8481
0.047,0.815,0.139,0.9021
0.0,0.786,0.214,0.7783
0.0,1.0,0.0,0.0
0.17,0.779,0.051,-0.7785
0.041,0.867,0.092,0.9161
0.029,0.744,0.227,0.962
0.139,0.783,0.078,-0.2351
0.107,0.837,0.056,-0.9315
0.0,0.735,0.265,0.9598
0.075,0.694,0.231,0.8345
0.119,0.881,0.0,-0.4767
0.078,0.77,0.151,0.769
0.037,0.782,0.181,0.8807
0.027,0.851,0.122,0.8841
0.0,0.856,0.144,0.6369
0.022,0.747,0.23,0.8879
0.0,0.882,0.118,0.9091
0.0,0.879,0.121,0.4404
0.0,0.849,0.151,0.5848
0.042,0.799,0.159,0.9371
0.064,0.716,0.22,0.785
0.0,0.526,0.474,0.9577
0.0,0.711,0.289,0.899
0.0,1.0,0.0,0.0
0.143,0.717,0.14,0.2278
0.034,0.833,0.134,0.8289
0.0,0.79,0.21,0.8422
0.0,0.703,0.297,0.9366
0.0,0.697,0.303,0.9298
0.0,0.875,0.125,0.6124
0.0,0.731,0.269,0.7088
0.0,0.79,0.21,0.8271
0.025,0.735,0.24,0.9505
0.0,0.798,0.202,0.5859
0.0,0.832,0.168,0.7537
0.043,0.925,0.033,-0.1502
0.018,0.917,0.065,0.5859
0.0,0.721,0.279,0.8655
0.124,0.705,0.171,0.8427
0.092,0.717,0.191,0.4404
0.071,0.802,0.126,0.7569
0.0,0.932,0.068,0.7712
0.045,0.782,0.173,0.8791
0.0,0.782,0.218,0.9198
